Title,Status,Notes
شهادة دبلوم الموارد البشرية,مكتمل,دبلوم مهني معتمد من أكاديمية التدريب الإداري - أغسطس 2023
شهادة دبلوم إدارة الأعمال,مكتمل,دبلوم مهني من أكاديمية التدريب الإداري - أغسطس 2023
دورة مهارات وفنون الإدارة,مكتمل,تطوير المهارات القيادية والتنظيمية
دورة التوظيف والاختيار,مكتمل,تعلم خطوات التوظيف من المقابلة حتى التعيين
شهادة UAE Codes 2024,مكتمل,مشروع باستخدام الذكاء الاصطناعي لإنشاء لعبة رقمية
دورة AWS Cloud Computing - منارة,جاري التنفيذ,أدرس حالياً تقنيات الحوسبة السحابية AWS
خبرة في GitHub & GitHub Pages,تم التفعيل,إنشاء مستودعات، ملفات README، واستضافة مشاريع
